date,gate_on
2010-02-19,False
2010-02-26,False
2010-03-05,False
2010-03-12,False
2010-03-19,False
2010-03-26,False
2010-04-01,False
2010-04-09,False
2010-04-16,False
2010-04-23,False
2010-04-30,False
2010-05-07,False
2010-05-14,False
2010-05-21,False
2010-05-28,True
2010-06-04,True
2010-06-11,True
2010-06-18,False
2010-06-25,False
2010-07-02,False
2010-07-09,False
2010-07-16,False
2010-07-23,False
2010-07-30,False
2010-08-06,True
2010-08-13,True
2010-08-20,True
2010-08-27,True
2010-09-03,True
2010-09-10,False
2010-09-17,False
2010-09-24,False
2010-10-01,False
2010-10-08,False
2010-10-15,False
2010-10-22,False
2010-10-29,False
2010-11-05,False
2010-11-12,False
2010-11-19,False
2010-11-26,False
2010-12-03,True
2010-12-10,True
2010-12-17,True
2010-12-23,True
2010-12-31,True
2011-01-07,True
2011-01-14,True
2011-01-21,True
2011-01-28,True
2011-02-04,True
2011-02-11,True
2011-02-18,True
2011-02-25,False
2011-03-04,False
2011-03-11,False
2011-03-18,False
2011-03-25,False
2011-04-01,False
2011-04-08,False
2011-04-15,False
2011-04-21,False
2011-04-29,False
2011-05-06,False
2011-05-13,False
2011-05-20,True
2011-05-27,True
2011-06-03,False
2011-06-10,False
2011-06-17,True
2011-06-24,True
2011-07-01,True
2011-07-08,True
2011-07-15,True
2011-07-22,True
2011-07-29,True
2011-08-05,True
2011-08-12,True
2011-08-19,True
2011-08-26,False
2011-09-02,False
2011-09-09,False
2011-09-16,False
2011-09-23,False
2011-09-30,False
2011-10-07,False
2011-10-14,False
2011-10-21,False
2011-10-28,False
2011-11-04,False
2011-11-11,False
2011-11-18,False
2011-11-25,False
2011-12-02,False
2011-12-09,False
2011-12-16,False
2011-12-23,False
2011-12-30,False
2012-01-06,False
2012-01-13,False
2012-01-20,False
2012-01-27,False
2012-02-03,False
2012-02-10,False
2012-02-17,False
2012-02-24,False
2012-03-02,False
2012-03-09,False
2012-03-16,False
2012-03-23,True
2012-03-30,True
2012-04-05,True
2012-04-13,True
2012-04-20,True
2012-04-27,True
2012-05-04,True
2012-05-11,True
2012-05-18,True
2012-05-25,True
2012-06-01,True
2012-06-08,True
2012-06-15,True
2012-06-22,True
2012-06-29,True
2012-07-06,True
2012-07-13,True
2012-07-20,True
2012-07-27,True
2012-08-03,True
2012-08-10,True
2012-08-17,True
2012-08-24,True
2012-08-31,False
2012-09-07,False
2012-09-14,False
2012-09-21,False
2012-09-28,False
2012-10-05,False
2012-10-12,False
2012-10-19,False
2012-10-26,False
2012-11-02,True
2012-11-09,True
2012-11-16,True
2012-11-23,False
2012-11-30,False
2012-12-07,False
2012-12-14,False
2012-12-21,False
2012-12-28,True
2013-01-04,True
2013-01-11,True
2013-01-18,True
2013-01-25,True
2013-02-01,True
2013-02-08,False
2013-02-15,False
2013-02-22,False
2013-03-01,False
2013-03-08,False
2013-03-15,False
2013-03-22,False
2013-03-28,False
2013-04-05,False
2013-04-12,True
2013-04-19,True
2013-04-26,True
2013-05-03,True
2013-05-10,True
2013-05-17,False
2013-05-24,False
2013-05-31,False
2013-06-07,False
2013-06-14,True
2013-06-21,True
2013-06-28,True
2013-07-05,True
2013-07-12,True
2013-07-19,False
2013-07-26,False
2013-08-02,False
2013-08-09,False
2013-08-16,False
2013-08-23,False
2013-08-30,False
2013-09-06,False
2013-09-13,False
2013-09-20,True
2013-09-27,True
2013-10-04,True
2013-10-11,True
2013-10-18,True
2013-10-25,True
2013-11-01,True
2013-11-08,True
2013-11-15,True
2013-11-22,True
2013-11-29,True
2013-12-06,True
2013-12-13,True
2013-12-20,True
2013-12-27,True
2014-01-03,True
2014-01-10,True
2014-01-17,True
2014-01-24,True
2014-01-31,True
2014-02-07,True
2014-02-14,True
2014-02-21,True
2014-02-28,True
2014-03-07,True
2014-03-14,False
2014-03-21,False
2014-03-28,False
2014-04-04,False
2014-04-11,False
2014-04-17,False
2014-04-25,False
2014-05-02,False
2014-05-09,False
2014-05-16,False
2014-05-23,False
2014-05-30,False
2014-06-06,False
2014-06-13,False
2014-06-20,False
2014-06-27,False
2014-07-03,False
2014-07-11,False
2014-07-18,False
2014-07-25,False
2014-08-01,False
2014-08-08,False
2014-08-15,False
2014-08-22,False
2014-08-29,False
2014-09-05,False
2014-09-12,False
2014-09-19,False
2014-09-26,True
2014-10-03,True
2014-10-10,True
2014-10-17,True
2014-10-24,True
2014-10-31,True
2014-11-07,True
2014-11-14,True
2014-11-21,True
2014-11-28,True
2014-12-05,False
2014-12-12,False
2014-12-19,False
2014-12-26,False
2015-01-02,False
2015-01-09,False
2015-01-16,True
2015-01-23,True
2015-01-30,True
2015-02-06,True
2015-02-13,True
2015-02-20,True
2015-02-27,True
2015-03-06,True
2015-03-13,True
2015-03-20,True
2015-03-27,True
2015-04-02,True
2015-04-10,True
2015-04-17,True
2015-04-24,True
2015-05-01,True
2015-05-08,True
2015-05-15,True
2015-05-22,True
2015-05-29,True
2015-06-05,False
2015-06-12,False
2015-06-19,False
2015-06-26,False
2015-07-02,False
2015-07-10,False
2015-07-17,True
2015-07-24,True
2015-07-31,True
2015-08-07,False
2015-08-14,False
2015-08-21,False
2015-08-28,False
2015-09-04,False
2015-09-11,False
2015-09-18,False
2015-09-25,False
2015-10-02,False
2015-10-09,False
2015-10-16,False
2015-10-23,False
2015-10-30,False
2015-11-06,False
2015-11-13,False
2015-11-20,False
2015-11-27,False
2015-12-04,False
2015-12-11,False
2015-12-18,False
2015-12-24,False
2015-12-31,False
2016-01-08,False
2016-01-15,False
2016-01-22,False
2016-01-29,False
2016-02-05,False
2016-02-12,True
2016-02-19,True
2016-02-26,True
2016-03-04,True
2016-03-11,True
2016-03-18,True
2016-03-24,True
2016-04-01,True
2016-04-08,True
2016-04-15,True
2016-04-22,True
2016-04-29,True
2016-05-06,True
2016-05-13,True
2016-05-20,True
2016-05-27,True
2016-06-03,True
2016-06-10,False
2016-06-17,False
2016-06-24,False
2016-07-01,False
2016-07-08,False
2016-07-15,False
2016-07-22,True
2016-07-29,True
2016-08-05,True
2016-08-12,True
2016-08-19,True
2016-08-26,True
2016-09-02,True
2016-09-09,True
2016-09-16,True
2016-09-23,True
2016-09-30,True
2016-10-07,True
2016-10-14,True
2016-10-21,True
2016-10-28,True
2016-11-04,True
2016-11-11,True
2016-11-18,True
2016-11-25,True
2016-12-02,True
2016-12-09,True
2016-12-16,True
2016-12-23,True
2016-12-30,True
2017-01-06,True
2017-01-13,True
2017-01-20,True
2017-01-27,True
2017-02-03,True
2017-02-10,True
2017-02-17,True
2017-02-24,True
2017-03-03,True
2017-03-10,True
2017-03-17,True
2017-03-24,True
2017-03-31,True
2017-04-07,True
2017-04-13,True
2017-04-21,True
2017-04-28,True
2017-05-05,True
2017-05-12,True
2017-05-19,True
2017-05-26,True
2017-06-02,True
2017-06-09,True
2017-06-16,True
2017-06-23,True
2017-06-30,True
2017-07-07,True
2017-07-14,True
2017-07-21,True
2017-07-28,True
2017-08-04,True
2017-08-11,True
2017-08-18,True
2017-08-25,True
2017-09-01,True
2017-09-08,True
2017-09-15,True
2017-09-22,True
2017-09-29,True
2017-10-06,True
2017-10-13,True
2017-10-20,True
2017-10-27,True
2017-11-03,True
2017-11-10,True
2017-11-17,True
2017-11-24,True
2017-12-01,True
2017-12-08,True
2017-12-15,True
2017-12-22,True
2017-12-29,True
2018-01-05,True
2018-01-12,True
2018-01-19,True
2018-01-26,True
2018-02-02,True
2018-02-09,True
2018-02-16,True
2018-02-23,False
2018-03-02,False
2018-03-09,False
2018-03-16,False
2018-03-23,False
2018-03-29,False
2018-04-06,False
2018-04-13,False
2018-04-20,False
2018-04-27,False
2018-05-04,False
2018-05-11,False
2018-05-18,True
2018-05-25,True
2018-06-01,True
2018-06-08,True
2018-06-15,True
2018-06-22,True
2018-06-29,True
2018-07-06,True
2018-07-13,True
2018-07-20,True
2018-07-27,True
2018-08-03,True
2018-08-10,True
2018-08-17,True
2018-08-24,True
2018-08-31,True
2018-09-07,True
2018-09-14,True
2018-09-21,True
2018-09-28,True
2018-10-05,True
2018-10-12,True
2018-10-19,True
2018-10-26,True
2018-11-02,True
2018-11-09,True
2018-11-16,True
2018-11-23,True
2018-11-30,True
2018-12-07,True
2018-12-14,True
2018-12-21,True
2018-12-28,False
2019-01-04,False
2019-01-11,False
2019-01-18,False
2019-01-25,False
2019-02-01,False
2019-02-08,False
2019-02-15,False
2019-02-22,False
2019-03-01,False
2019-03-08,False
2019-03-15,False
2019-03-22,False
2019-03-29,False
2019-04-05,False
2019-04-12,True
2019-04-18,True
2019-04-26,True
2019-05-03,True
2019-05-10,True
2019-05-17,True
2019-05-24,True
2019-05-31,True
2019-06-07,True
2019-06-14,True
2019-06-21,True
2019-06-28,True
2019-07-05,True
2019-07-12,True
2019-07-19,True
2019-07-26,True
2019-08-02,True
2019-08-09,True
2019-08-16,True
2019-08-23,True
2019-08-30,True
2019-09-06,True
2019-09-13,True
2019-09-20,True
2019-09-27,True
2019-10-04,True
2019-10-11,True
2019-10-18,True
2019-10-25,True
2019-11-01,True
2019-11-08,True
2019-11-15,True
2019-11-22,True
2019-11-29,True
2019-12-06,True
2019-12-13,True
2019-12-20,True
2019-12-27,True
2020-01-03,True
2020-01-10,True
2020-01-17,False
2020-01-24,False
2020-01-31,True
2020-02-07,True
2020-02-14,True
2020-02-21,True
2020-02-28,True
2020-03-06,True
2020-03-13,True
2020-03-20,True
2020-03-27,True
2020-04-03,True
2020-04-09,True
2020-04-17,True
2020-04-24,True
2020-05-01,True
2020-05-08,True
2020-05-15,True
2020-05-22,True
2020-05-29,True
2020-06-05,True
2020-06-12,True
2020-06-19,True
2020-06-26,True
2020-07-02,True
2020-07-10,False
2020-07-17,False
2020-07-24,False
2020-07-31,False
2020-08-07,False
2020-08-14,False
2020-08-21,False
2020-08-28,False
2020-09-04,False
2020-09-11,False
2020-09-18,False
2020-09-25,True
2020-10-02,True
2020-10-09,True
2020-10-16,True
2020-10-23,True
2020-10-30,True
2020-11-06,True
2020-11-13,True
2020-11-20,True
2020-11-27,True
2020-12-04,True
2020-12-11,True
2020-12-18,True
2020-12-24,True
2020-12-31,True
2021-01-08,True
2021-01-15,True
2021-01-22,True
2021-01-29,True
2021-02-05,True
2021-02-12,True
2021-02-19,True
2021-02-26,True
2021-03-05,True
2021-03-12,True
2021-03-19,True
2021-03-26,True
2021-04-01,True
2021-04-09,True
2021-04-16,True
2021-04-23,True
2021-04-30,True
2021-05-07,True
2021-05-14,True
2021-05-21,True
2021-05-28,True
2021-06-04,True
2021-06-11,True
2021-06-18,True
2021-06-25,True
2021-07-02,True
2021-07-09,True
2021-07-16,True
2021-07-23,True
2021-07-30,True
2021-08-06,True
2021-08-13,True
2021-08-20,True
2021-08-27,True
2021-09-03,True
2021-09-10,True
2021-09-17,True
2021-09-24,True
2021-10-01,True
2021-10-08,True
2021-10-15,True
2021-10-22,True
2021-10-29,True
2021-11-05,True
2021-11-12,True
2021-11-19,True
2021-11-26,True
2021-12-03,True
2021-12-10,True
2021-12-17,True
2021-12-23,True
2021-12-31,True
2022-01-07,True
2022-01-14,True
2022-01-21,True
2022-01-28,True
2022-02-04,True
2022-02-11,True
2022-02-18,True
2022-02-25,True
2022-03-04,True
2022-03-11,True
2022-03-18,True
2022-03-25,True
2022-04-01,True
2022-04-08,True
2022-04-14,True
2022-04-22,True
2022-04-29,True
2022-05-06,True
2022-05-13,False
2022-05-20,False
2022-05-27,False
2022-06-03,False
2022-06-10,False
2022-06-17,True
2022-06-24,True
2022-07-01,True
2022-07-08,True
2022-07-15,False
2022-07-22,False
2022-07-29,False
2022-08-05,False
2022-08-12,False
2022-08-19,False
2022-08-26,False
2022-09-02,False
2022-09-09,False
2022-09-16,False
2022-09-23,False
2022-09-30,False
2022-10-07,True
2022-10-14,True
2022-10-21,True
2022-10-28,True
2022-11-04,True
2022-11-11,True
2022-11-18,True
2022-11-25,True
2022-12-02,True
2022-12-09,True
2022-12-16,True
2022-12-23,True
2022-12-30,True
2023-01-06,True
2023-01-13,True
2023-01-20,True
2023-01-27,True
2023-02-03,True
2023-02-10,True
2023-02-17,True
2023-02-24,True
2023-03-03,True
2023-03-10,True
2023-03-17,True
2023-03-24,True
2023-03-31,True
2023-04-06,True
2023-04-14,True
2023-04-21,True
2023-04-28,True
2023-05-05,True
2023-05-12,True
2023-05-19,True
2023-05-26,True
2023-06-02,True
2023-06-09,True
2023-06-16,True
2023-06-23,True
2023-06-30,True
2023-07-07,True
2023-07-14,True
2023-07-21,True
2023-07-28,True
2023-08-04,True
2023-08-11,True
2023-08-18,True
2023-08-25,True
2023-09-01,True
2023-09-08,True
2023-09-15,True
2023-09-22,True
2023-09-29,True
2023-10-06,True
2023-10-13,True
2023-10-20,True
2023-10-27,True
2023-11-03,True
2023-11-10,True
2023-11-17,True
2023-11-24,True
2023-12-01,True
2023-12-08,True
2023-12-15,True
2023-12-22,True
2023-12-29,True
2024-01-05,True
2024-01-12,True
2024-01-19,True
2024-01-26,True
2024-02-02,True
2024-02-09,True
2024-02-16,True
2024-02-23,True
2024-03-01,True
2024-03-08,True
2024-03-15,True
2024-03-22,True
2024-03-28,True
2024-04-05,True
2024-04-12,True
2024-04-19,True
2024-04-26,True
2024-05-03,True
2024-05-10,True
2024-05-17,True
2024-05-24,True
2024-05-31,True
2024-06-07,True
2024-06-14,True
2024-06-21,True
2024-06-28,True
2024-07-05,True
2024-07-12,True
2024-07-19,True
2024-07-26,True
2024-08-02,True
2024-08-09,True
2024-08-16,True
2024-08-23,True
2024-08-30,False
2024-09-06,False
2024-09-13,False
2024-09-20,True
2024-09-27,True
2024-10-04,True
2024-10-11,True
2024-10-18,True
2024-10-25,True
2024-11-01,True
2024-11-08,True
2024-11-15,True
2024-11-22,True
2024-11-29,True
2024-12-06,True
2024-12-13,True
2024-12-20,True
2024-12-27,True
2025-01-03,True
2025-01-10,True
2025-01-17,True
2025-01-24,True
2025-01-31,True
2025-02-07,True
2025-02-14,True
2025-02-21,True
2025-02-28,True
2025-03-07,True
2025-03-14,True
2025-03-21,True
2025-03-28,True
2025-04-04,True
2025-04-11,True
2025-04-17,True
2025-04-25,True
2025-05-02,True
2025-05-09,True
2025-05-16,False
2025-05-23,False
2025-05-30,False
2025-06-06,False
2025-06-13,False
2025-06-20,False
2025-06-27,False
2025-07-03,False
2025-07-11,False
2025-07-18,False
2025-07-25,True
2025-08-01,True
2025-08-08,True
2025-08-15,True
2025-08-22,True
2025-08-29,True
2025-09-05,True
2025-09-12,True
2025-09-19,True
2025-09-26,True
2025-10-03,True
2025-10-10,True
2025-10-17,True
2025-10-24,True
2025-10-31,True
2025-11-07,True
2025-11-14,True
2025-11-21,True
2025-11-28,True
2025-12-05,True
2025-12-12,True
2025-12-19,True
2025-12-26,True
2026-01-02,True
2026-01-09,True
2026-01-16,True
2026-01-23,True
2026-01-30,True
2026-02-06,True
2026-02-13,True
2026-02-20,True
2026-02-27,True
2026-03-06,True
2026-03-13,True
2026-03-20,True
2026-03-27,True
2026-04-02,True
2026-04-10,True
2026-04-17,True
2026-04-24,True
2026-05-01,True
2026-05-08,True
2026-05-15,True
2026-05-22,True
2026-05-29,True
2026-06-05,True
2026-06-12,True
2026-06-18,True
2026-06-26,True
2026-07-02,True
2026-07-10,True
2026-07-17,True
2026-07-24,True
2026-07-31,True
2026-08-07,True
